date,forecast,std_error,lower_95,upper_95,lower_80,upper_80,coefficient_of_variation,uncertainty_ratio_95,prob_exceed_historical_max
2026-02-19,883044.2103827039,2937437.236598516,-4874226.980197249,6640315.400962656,-2881433.0788691286,4647521.499634537,332.6489435138763,13.039598975649927,0.5708723946632519
2026-02-20,883710.7671235127,2955562.3422715086,-4909084.977791488,6676506.512038514,-2903994.7796792053,4671416.31392623,334.4490586995894,13.110162194290353,0.5703654042973318
2026-02-21,883089.8821941402,2973549.872651038,-4944960.774435559,6711140.538823839,-2927667.612326745,4693847.376715025,336.7210895070959,13.199224165379915,0.570017720166714
2026-02-22,883668.2246996171,2991454.3351613013,-4979474.533612745,6746810.98301198,-2950034.7617815305,4717371.211180764,338.5268646700721,13.270009251052121,0.5695370717060244
2026-02-23,883129.5096530474,3009229.0387129327,-5014851.027456389,6781110.046762484,-2973352.675991785,4739611.695297879,340.74606338261304,13.357000242074482,0.5691936877450459
2026-02-24,883631.3124751679,3026920.8807065096,-5049024.597761852,6816287.222712188,-2995523.8809738997,4762786.505924236,342.55473272305215,13.427898777418532,0.5687368973819548
2026-02-25,883163.8926882294,3044489.991404514,-5083926.841757276,6850254.627133735,-3018507.022081092,4784834.807457551,344.7253693918017,13.512986171303952,0.5683984710713303
2026-02-26,883599.2853316951,3061976.747700531,-5117764.861660433,6884963.432323824,-3040481.8093450842,4807680.380008475,346.53454326313687,13.583904483895708,0.5679633584925184
2026-02-27,883193.7253633727,3079347.1117054108,-5152215.709476671,6918603.160203417,-3063148.38649794,4829535.837224686,348.6604380526451,13.66723802834286,0.5676303952603932
2026-02-28,883571.4967620726,3096635.870717797,-5185723.28307964,6952866.276603785,-3084927.0512778866,4852070.0448020315,350.46805856296845,13.73809545030185,0.5672150421324049
2026-03-01,883219.6098875717,3113813.9738359363,-5219743.633388409,6986182.853163553,-3107293.563096526,4873732.782871669,352.5526311890092,13.819809195705812,0.5668879210185054
