district,enrol_mean,enrol_std,enrol_max,child_mean,adult_mean,cis_mean,momentum,state,enrol_volatility,child_adult_ratio,zero_cis_flag,anomaly_label,anomaly_score,fraud_risk_score,is_anomaly
Nayagarh,129.78947368421052,265.6446203624033,969.0,129.21052631578948,0.5789473684210527,0.2403684210526316,0.11105263157894736,Odisha,2.031085628525418,81.83333333333334,0,1,-0.44389974362999407,23.873055762112372,0
Near Uday nagar NIT garden,0.0,,0.0,0.0,0.0,0.0,0.0,Manipur,,0.0,1,1,-0.49276294845301244,37.80628202869596,0
Near University Thana,0.0,,0.0,0.0,0.0,0.0,0.0,Haryana,,0.0,1,1,-0.49276294845301244,37.80628202869596,0
Near meera hospital,0.0,,0.0,0.0,0.0,0.0,0.0,Manipur,,0.0,1,1,-0.49276294845301244,37.80628202869596,0
Neemuch,551.5555555555555,727.9928075041523,1880.0,549.6666666666666,1.8888888888888888,0.30633333333333335,0.289,Madhya Pradesh,1.3175015619419608,190.26923076923075,0,1,-0.3927324350775616,9.282819814729422,0
Nellore,596.3333333333334,741.2049311762571,1771.0,596.1111111111111,0.2222222222222222,0.21166666666666667,0.28655555555555556,Andhra Pradesh,1.240856469603109,487.7272727272727,0,1,-0.4828949601439762,34.99244870761518,0
New Delhi,181.88888888888889,359.3805241121326,1091.0,157.77777777777777,24.11111111111111,0.3921111111111111,0.09355555555555556,Delhi,1.965021091743131,6.283185840707964,0,1,-0.44774663074671023,24.969986444685247,0
Nicobar,8.333333333333334,15.264337522473747,47.0,8.333333333333334,0.0,0.2733333333333333,0.23644444444444446,Andaman and Nicobar Islands,1.6354647345507585,8.333333333333334,0,1,-0.40396053340012367,12.484485260914141,0
Nicobars,0.3333333333333333,0.5773502691896258,1.0,0.3333333333333333,0.0,0.16666666666666666,0.0,Andaman and Nicobar Islands,0.4330127018922194,0.3333333333333333,0,1,-0.4448234923220601,24.136460497569942,0
Nirmal,155.66666666666666,210.5641232499022,572.0,155.33333333333334,0.3333333333333333,0.12644444444444444,0.25699999999999995,Telangana,1.344026318616397,116.50000000000001,0,1,-0.39747523671763174,10.635218385964563,0
Niuland,4.428571428571429,6.451282633635548,16.0,4.142857142857143,0.2857142857142857,0.21457142857142858,0.2945714285714286,Nagaland,1.1883941693539168,3.2222222222222228,0,1,-0.3843995190630567,6.906708695717398,0
Niwari,15.777777777777779,21.010579345759233,56.0,14.777777777777779,1.0,0.2668888888888889,0.3333333333333333,Madhya Pradesh,1.2522861861710801,7.388888888888889,0,1,-0.38879479124844346,8.160010072162663,0
Nizamabad,394.5,755.0532704230018,2548.0,394.0,0.5,0.20772222222222222,0.22644444444444442,Andhra Pradesh,1.9091106711074635,262.6666666666667,0,1,-0.47843565392270704,33.72088817862472,0
Noklak,39.333333333333336,48.106652346634974,128.0,35.111111111111114,4.222222222222222,0.428,0.23455555555555557,Nagaland,1.1927269176851645,6.723404255319149,0,1,-0.38294650725527185,6.49238584564624,0
North,7.333333333333333,7.0898989179442236,17.0,7.333333333333333,0.0,0.307,0.2058333333333333,Sikkim,0.8507878701533069,7.333333333333333,0,1,-0.3872086586665444,7.707728150981978,0
North 24 Parganas,3178.4444444444443,3881.979459989166,10642.0,3028.6666666666665,149.77777777777777,0.5064444444444445,0.16122222222222224,West Bengal,1.2209615635122313,20.08695652173913,0,-1,-0.588873931174235,65.21209942869717,1
North And Middle Andaman,14.666666666666666,18.255136263528684,40.0,14.666666666666666,0.0,0.31222222222222223,0.3333333333333333,Andaman and Nicobar Islands,1.1652214636294904,14.666666666666666,0,1,-0.3869198935432164,7.625387465065032,0
North Cachar Hills,117.55555555555556,130.6982317316412,408.0,102.33333333333333,15.222222222222221,0.5302222222222223,0.15744444444444444,Assam,1.1024218234159051,6.308219178082192,0,1,-0.4016261708037374,11.81884733639599,0
North Delhi,495.44444444444446,401.0343224435756,939.0,486.44444444444446,9.0,0.343,0.28633333333333333,Delhi,0.8078130935524128,48.644444444444446,0,1,-0.39326779717202925,9.435477038580913,0
North Dinajpur,48.857142857142854,49.33027661057852,124.0,48.857142857142854,0.0,0.4524285714285714,0.3605714285714286,West Bengal,0.9894324821606008,48.857142857142854,0,1,-0.4187867199077938,16.712136967963502,0
North East,174.0,237.15021025127137,617.0,173.8,0.2,0.3989,0.2528,Delhi,1.3551440585786936,144.83333333333334,0,1,-0.3891692730426342,8.266792662254204,0
North East Delhi,1345.888888888889,1414.8874022730963,4482.0,1338.6666666666667,7.222222222222222,0.3466666666666667,0.18888888888888888,Delhi,1.0504856146228234,162.81081081081084,0,1,-0.4579118665192484,27.868579170744496,0
North Garo Hills,341.0,457.4784147913429,1495.0,256.77777777777777,84.22222222222223,0.6789999999999999,-0.02066666666666666,Meghalaya,1.337656183600418,3.0130378096479786,0,1,-0.47463802007997963,32.63800194961031,0
North Goa,150.44444444444446,189.89214775176404,514.0,139.44444444444446,11.0,0.34155555555555556,0.37544444444444447,Goa,1.2538733160424624,11.620370370370372,0,1,-0.40181225644990903,11.871909214397306,0
North Sikkim,6.888888888888889,9.63644701698251,20.0,6.888888888888889,0.0,0.20355555555555555,0.23977777777777776,Sikkim,1.2215214528569378,6.888888888888889,0,1,-0.378742314781358,5.29357039300703,0
North Tripura,165.33333333333334,173.4322634344602,448.0,162.44444444444446,2.888888888888889,0.39677777777777773,0.362,Tripura,1.0426789384837285,41.77142857142857,0,1,-0.3967573110030675,10.43050358144339,0
North Twenty Four Parganas,180.77777777777777,243.3956541198804,644.0,180.55555555555554,0.2222222222222222,0.369,0.254,West Bengal,1.3389736473587552,147.7272727272727,0,1,-0.381077597857025,5.959470789995805,0
North West Delhi,1782.5555555555557,1320.382530851487,3880.0,1743.111111111111,39.44444444444444,0.32366666666666666,0.3954444444444445,Delhi,0.740309168805344,43.0989010989011,0,1,-0.49444759748396944,38.28665568026306,0
Nuapada,101.04761904761905,252.55028730739474,1069.0,100.95238095238095,0.09523809523809523,0.2954761904761905,0.14304761904761903,Odisha,2.4748278270906625,92.17391304347825,0,1,-0.46490082068703104,29.861462775886665,0
Nuh,1506.0,,1506.0,1464.0,42.0,0.999,0.0,Haryana,,34.04651162790697,0,-1,-0.5857825130170563,64.33058891737055,1
Osmanabad,447.3333333333333,484.10277834360755,1303.0,446.22222222222223,1.1111111111111112,0.38755555555555554,0.401,Maharashtra,1.0797831487218013,211.3684210526316,0,1,-0.44499361625679446,24.18497093163994,0
Pakaur,33.0,57.271284253105414,172.0,33.0,0.0,0.24433333333333332,0.23511111111111113,Jharkhand,1.6844495368560415,33.0,0,1,-0.4083418866842606,13.733817695878798,0
Pakke Kessang,0.8,0.8366600265340756,2.0,0.6,0.2,0.09,0.0,Arunachal Pradesh,0.4648111258522642,0.5,0,1,-0.4592655341279748,28.254574259491605,0
Pakur,769.3333333333334,727.6776415419124,2028.0,764.3333333333334,5.0,0.5742222222222222,0.08144444444444446,Jharkhand,0.9446269686827076,127.3888888888889,0,1,-0.46819199453179416,30.799933144906433,0
Palakkad,747.1111111111111,894.8088405414371,1981.0,728.3333333333334,18.77777777777778,0.2931111111111111,0.3272222222222222,Kerala,1.1960908309628597,36.825842696629216,0,1,-0.39437246064046333,9.750469190853138,0
Palamau,31.77777777777778,46.31894260930882,117.0,31.77777777777778,0.0,0.29411111111111116,0.26511111111111113,Jharkhand,1.4131202829958622,31.77777777777778,0,1,-0.3810061478087927,5.939096979223777,0
Palamu,956.2222222222222,1271.9739362284295,3264.0,949.1111111111111,7.111111111111111,0.24877777777777776,0.285,Jharkhand,1.328817809176537,117.01369863013699,0,1,-0.40441702893792547,12.614653874309752,0
Palghar,1188.7777777777778,1010.9548429304073,2996.0,1170.4444444444443,18.333333333333332,0.5957777777777777,0.4895555555555555,Maharashtra,0.8497005590561884,60.54022988505747,0,1,-0.48656516698424224,36.0389994309214,0
Pali,1012.6666666666666,1366.3149344129997,3867.0,999.5555555555555,13.11111111111111,0.3512222222222222,0.15188888888888888,Rajasthan,1.3478937202364352,70.83464566929133,0,1,-0.4392884010404352,22.558142425466272,0
Palnadu,95.55555555555556,117.61282998796423,284.0,92.77777777777777,2.7777777777777777,0.15433333333333332,0.3091111111111111,Andhra Pradesh,1.2180845453298943,24.558823529411764,0,1,-0.3737640996935872,3.874044238861785,0
Palwal,522.5555555555555,646.944570869698,1577.0,522.1111111111111,0.4444444444444444,0.28988888888888886,0.3075555555555555,Haryana,1.2356751141399156,361.46153846153845,0,1,-0.4412835262127207,23.12704760793018,0
Panch Mahals,280.4,582.9127722052416,1323.0,260.4,20.0,0.8322,-0.29619999999999996,Gujarat,2.0714739595069,12.399999999999999,0,-1,-0.6045373005914789,69.67847184487434,1
Panchkula,153.77777777777777,189.4813828439207,467.0,153.22222222222223,0.5555555555555556,0.20066666666666666,0.31722222222222224,Haryana,1.2242156824086765,98.5,0,1,-0.37545512193298325,4.356235195608662,0
Panchmahals,697.6666666666666,661.1726325249707,1866.0,661.1111111111111,36.55555555555556,0.5225555555555556,0.16233333333333333,Gujarat,0.9463348747971909,17.603550295857985,0,1,-0.4065156307129372,13.213065163143554,0
Pandhurna,19.6,12.501999840025595,33.0,14.0,5.6,0.4422,0.3124,Madhya Pradesh,0.6068931961177473,2.121212121212121,0,1,-0.424614569411766,18.373934348641853,0
Panipat,676.4444444444445,567.1889260006561,1523.0,671.2222222222222,5.222222222222222,0.4042222222222222,0.23511111111111113,Haryana,0.837247881582074,107.87499999999999,0,1,-0.405471669434641,12.91538209555236,0
Panna,1037.6666666666667,1218.5232866055535,3647.0,1023.4444444444445,14.222222222222221,0.5126666666666666,0.373,Madhya Pradesh,1.173161058991226,67.23357664233578,0,1,-0.43735519063333994,22.00689209056634,0
Papum Pare,49.666666666666664,65.24377364929163,159.0,49.111111111111114,0.5555555555555556,0.17977777777777776,0.2564444444444444,Arunachal Pradesh,1.287706058867598,31.571428571428573,0,1,-0.37988146247690274,5.618395640359722,0
Parbhani,696.8888888888889,713.524429232182,1926.0,674.7777777777778,22.11111111111111,0.4872222222222222,0.05377777777777778,Maharashtra,1.0224040539865686,29.197115384615387,0,1,-0.41632783217627767,16.01099099828282,0
Parvathipuram Manyam,56.44444444444444,70.22305730867731,177.0,55.55555555555556,0.8888888888888888,0.15811111111111112,0.2831111111111111,Andhra Pradesh,1.222451674619141,29.411764705882355,0,1,-0.3786006577542157,5.25317722971424,0
Paschim Bardhaman,141.77777777777777,182.17764529284167,481.0,131.44444444444446,10.333333333333334,0.24333333333333332,0.2776666666666667,West Bengal,1.275952379482938,11.598039215686274,0,1,-0.37051300181760244,2.9470014367170023,0
Paschim Medinipur,2009.4444444444443,2636.4905229827355,7043.0,1992.7777777777778,16.666666666666668,0.2611111111111111,0.26355555555555554,West Bengal,1.311396855689434,112.79874213836477,0,1,-0.5144446497492654,43.988767420298025,0
Pashchim Champaran,2044.875,3814.914731775048,9642.0,1974.625,70.25,0.751,-0.037375,Bihar,1.8646861278304139,27.7140350877193,0,-1,-0.6702504694726324,88.41642515824387,1
Pashchimi Singhbhum,66.55555555555556,84.3194982063922,194.0,66.44444444444444,0.1111111111111111,0.32999999999999996,0.2801111111111111,Jharkhand,1.2481504668709371,59.8,0,1,-0.36842210333431186,2.3507867231372614,0
Patan,996.3333333333334,950.6321580927083,3151.0,916.7777777777778,79.55555555555556,0.7324444444444445,0.1941111111111111,Gujarat,0.9531739553068599,11.380689655172414,0,1,-0.45432600330259715,26.84607883046624,0
Pathanamthitta,216.77777777777777,259.81665544080204,569.0,208.66666666666666,8.11111111111111,0.22111111111111112,0.30577777777777776,Kerala,1.1930356627383767,22.902439024390244,0,1,-0.3674174318735017,2.064307053255831,0
Pathankot,123.88888888888889,156.01798329394953,362.0,122.22222222222223,1.6666666666666667,0.2841111111111111,0.3026666666666667,Punjab,1.2492543146312685,45.83333333333333,0,1,-0.3668873808823194,1.9131642778337294,0
Patiala,572.2222222222222,503.28366200825997,1447.0,563.0,9.222222222222221,0.36944444444444446,0.2411111111111111,Punjab,0.8779904939085753,55.07608695652174,0,1,-0.386717505595367,7.567677024637959,0
Patna,2738.222222222222,1967.4102125495956,6425.0,2655.1111111111113,83.11111111111111,0.6737777777777778,0.3393333333333333,Bihar,0.7182368033483293,31.566710700132102,0,1,-0.522591572406824,46.311842977361096,0
Pauri Garhwal,206.22222222222223,254.53525186984308,611.0,204.66666666666666,1.5555555555555556,0.25277777777777777,0.2831111111111111,Uttarakhand,1.2283202503102346,80.08695652173914,0,1,-0.3620414296730581,0.5313528530608806,0
Peddapalli,65.33333333333333,85.64899298882621,229.0,65.0,0.3333333333333333,0.18733333333333332,0.264,Telangana,1.2911908490777821,48.75,0,1,-0.3750280230192142,4.234448959414976,0
Perambalur,236.66666666666666,304.42240390615143,775.0,236.66666666666666,0.0,0.18588888888888888,0.27144444444444443,Tamil Nadu,1.2808796798295292,236.66666666666666,0,1,-0.4186467873680706,16.67223553814361,0
